index,nlp_question,question,answer
0,인터넷 인터넷 ,인터넷뱅킹,
1,인터넷 인터넷 인터넷 인터넷 인터넷 ,인터넷뱅킹 이체수수료는 얼마인가요?,인터넷뱅킹(스마트폰뱅킹) 텔레뱅킹의 이체수수료는 새마을금고 간 이체의 경우 무료이며 타행이체의 경우 건당 0원~500원으로써 계좌를 개설하신 새마을금고의 수수료 정책에 따라 다를 수 있습니다. 각 새마을금고마다 한가족우수회원 제도 등 수수료 감면 또는 면제 정책을 시행하고 있으며 이체수수료의 감면 또는 면제 등에 대한 문의는 이용하시는 새마을금고로 문의하여 주시기 바랍니다.
2,인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 ,인터넷뱅킹을 이용한 거래내역 조회기간은 어떻게 되나요?,인테넷뱅킹을 이용하실 경우 계좌개설일부터 모든 기간의 거래내역을 조회하실 수 있고 관련 파일을 저장하여 활용하실 수도 있습니다.
3,자주 자주 자주 자주 자주 자주 자주 ,자주 쓰는 입금계좌를 등록해서 사용할 수 있나요?, 자주 쓰는 입금계좌를 등록하시면 이체거래시 매번 입금계좌번호를 입력하지 않고 입금계좌번호를 선택함으로써 편리하게 이용할 수 있는 기능입니다. 자주쓰는 입금계좌는 [ 뱅킹관리 - 계좌관리 - 자주 쓰는 입금계좌 관리 ] 메뉴에서 관리가 가능합니다.
4,개인 개인 개인 개인 개인 ,개인 인터넷 뱅킹 속도가 너무 느린데 어떻게 해야 하나요?,인터넷 속도 저하는 회선 & 프로그램 로딩 등 다양한 문제로 발생할 수 있습니다. 타 사이트 접속시와 비교하여 속도가 현저히 느릴 경우 Chrome 브라우저를 사용하여 접속하실 것을 권장합니다.
5,인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 ,인터넷뱅킹으로 계좌이체를 했는데 전자확인증을 다시 출력할 수 있나요? ,개인고객의 경우 2009년 12월 1일 이후 이체한 내역에 대해 전자확인증(이체확인증) 재출력이 가능합니다.
6,거래 거래 거래 거래 거래 ,거래내역조회는 언제내역부터 가능한가요?,거래내역조회는 2003.1.1 내역부터 조회가 가능합니다.
7,출금 출금 출금 출금 출금 ,출금계좌 추가등록은 어떻게 하나요? ,출금계좌추가등록/삭제는 영업점 및 인터넷을통해 가능합니다.
8,빠른 빠른 빠른 빠른 빠른 빠른 ,빠른조회서비스를 이용하려면 꼭 인터넷뱅킹에 가입해야 하나요?,  네 그렇습니다.금융감독원의 전자금융거래 보안대책 시행에 따라 2006년 3월 1일부터는 신청 고객에 한하여 '빠른조회(잔액/거래내역)서비스'가 제공됩니다.
9,인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 ,인터넷뱅킹 이체한도 조회 및 증액하는 방법에 대해서 알려주세요,본인께서 신분증(주민등록증 | 운전면허증 등)을 지참하신 후 가까운 영업점에 방문하셔서 인터넷뱅킹 이체한도를 증액 신청하여 주시기 바랍니다.
10,인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 ,인터넷뱅킹 신규회원가입 방법에 대해 알려주세요,우리은행에서 개설한 입출금 통장 또는 예·적금 계좌를 보유한 경우 인터넷/스마트뱅킹을 이용할 수 있습니다. 단 예·적금 계좌만 보유한 경우는 '조회고객'으로만 가입할 수 있습니다.
11,인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 ,인터넷뱅킹 이용시간에 대해서 알려주세요.,매일 00:00 ~ 00:10(금요일은 00:00 ~ 00:40)은 시스템 일자전환 또는 매월 둘째 일요일 02:00 ~ 06:00 은 시스템 정기점검으로 서비스 이용이 제한되며 이용하시는 업무에 따라 이용가능 시간이 다르므로 우리은행 홈페이지 內「이용시간안내」를 참조하여 주시기 바랍니다.
12,로그인 로그인 로그인 로그인 로그인 로그인 로그인 로그인 로그인 로그인 ,로그인 시도중 이용자비밀번호 3회 오류가 되었습니다. 어떻게 해야 하나요?,개인고객님은 아래에 안내된 각 매체별 '이용자비밀번호 3회 오류해제 가능 조건'이 충족된다면 영업점 방문없이 3회 오류를 해제할 수 있습니다.
13,이용자 이용자 이용자 이용자 이용자 이용자 ,이용자비밀번호를 모르는 경우 어떻게 해야 하나요?,개인고객님은 인터넷/스마트뱅킹에서 이용자비밀번호를 재등록할 수 있으므로 새로운 비밀번호를 등록하시면 됩니다. 이용자비밀번호 재등록은 이용자비밀번호 오류회수가 없거나 3회 미만인 경우에만 가능합니다.
14,인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 ,인터넷뱅킹 이용자아이디를 인터넷에서 확인할 수 있나요?,고객님께서 인터넷뱅킹을 영업점에서 처음 신청하실 때 이용신청서에 기재하신 아이디입니다. 공인인증서 발급 & 재발급 & 장기미사용자이용등록 등의 서비스 신청 시 입력이 필요하며 개인 인터넷뱅킹의 경우 인터넷뱅킹에서 이용자ID 조회가 가능합니다.
15,타행 타행 타행 타행 타행 타행 ,타행에서 발급한 OTP를 등록해 사용할 수 있나요?,타행에서 발급한 OTP를 농협에 등록하여 사용하실 수 있습니다.
16,공인 공인 공인 공인 공인 공인 공인 ,공인인증서 암호를 모르겠습니다. 변경할 수 있나요?,공인인증서 암호 변경은 현재 인증서의 암호를 알고 계실 경우 변경이 가능합니다.
17,인터넷 인터넷 인터넷 인터넷 인터넷 ,인터넷뱅킹 비밀번호는 어떤 것이 있나요?, 인터넷뱅킹에서 이용하시는 비밀번호로는 인증서암호 & 초기비밀번호 & 보안카드(OTP)번호 & 계좌(통장)비밀번호 등이 있습니다.
18,인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 ,인터넷 뱅킹에서 특정 거래내역을 삭제할 수 있나요?,인터넷뱅킹에서 특정일자의 거래내역 삭제는 불가합니다. 또한 입출금계좌에 대해서는 통장정리되지 않은 내역을 생략하실 수 있지만 생략 후에도 인터넷뱅킹의 거래내역 조회화면에서는 조회가 가능합니다.
19,계좌 계좌 계좌 계좌 계좌 계좌 계좌 ,계좌 비밀번호 변경하려면 꼭 영업점으로 방문해야 하나요?,인터넷뱅킹 이체 회원으로 가입되어 있고 기존 비밀번호를 알고 있다면 영업점 방문없이 홈페이지를 통해 계좌 비밀번호를 변경하실 수 있습니다.(계좌 비밀번호 3회오류시 제외)
20,인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 ,인터넷뱅킹에서 이체거래 확인증 출력할 수 있나요?,네 가능합니다.
21,해외 해외 해외 해외 해외 ,해외에서 인터넷뱅킹 사용이 가능한가요?,해외에서 인터넷뱅킹 사용을 하시는 것은 가능합니다.
22,인터넷 인터넷 인터넷 인터넷 ,인터넷뱅킹 거래는 안전한가요 ?,예. 그렇습니다.
23,인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 ,인터넷뱅킹 회원 가입해지를 하려면 어떻게 해야 하나요?,인터넷뱅킹 회원 가입 해지는 인터넷에서도 가능합니다. 홈페이지 - 뱅킹관리 - 뱅킹정보관리 인터넷뱅킹해지를 선택하신 후 해당사항을 입력하시면 해지가 가능합니다. 조회만 가능한 회원도 해지가 가능하지만 손님의 개인정보 및 비밀번호를 분실하셨을 때에는 가까운 영업점으로 통장 & 도장 & 주민등록증을 지참 후 방문하시어 해지 신청을 하셔야 합니다.
24,인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 ,인터넷에서 통장 해지를 할 수 있나요 ?,인터넷상에서 가입한 통장이라면 해지처리가 가능합니다. 그러나 지점에서 가입한 통장은 인터넷을 통해 해지하실 수 없습니다.
25,대출 대출 대출 ,대출이 가능한지 알고 싶습니다.,새마을금고마다 금리 & 조건 등이 차이가 있으므로 거래 하시고자 하는 새마을금고로문의하셔야 상세한 안내를 받으실 수 있습니다. 새마을금고 위치와 연락처는 홈페이지(www.kfcc.co.kr)에서 검색하실 수 있습니다.
26,대출 대출 대출 ,대출 및 이율을 알려주세요.,새마을금고는 각각 독립법인으로 대출 및 예금 이율은 새마을금고마다 다르게 운영되고 있습니다. 새마을금고홈페이지(www.kfcc.co.kr) 의 전국새마을금고 위치검색에서 개별새마을금고의 위치 & 금리 & 연락처를 조회하실 수 있으니 상세한 금리는 거래하시고자 하는 금고로 문의하시기 바랍니다.
27,학자금 학자금 학자금 ,학자금대출은 어디에서 신청하나요?, 한국장학재단 학자금 대출 업무가 2010년도 2 학기에는 등록 대상범위가 재학생으로 축소되어 한국장학 재단에서 대출업무를 취급 하기로 결정되었습니다. 모든 재단 업무제휴은행에서는 2010 년도 2 학기에 학자금 대출신청서 및 가족관계 서류 접수등 관련 업무를  취급하지 않습니다.
28,군인 군인 군인 군인 군인 군인 ,군인 자격으로 대출을 받을 수 있나요?, 현재 저희 은행에서는 중사이상 5년이상 복무자를 대상으로 군인생활안정자금 대출 상품을 판매하고 있습니다.
29,청약 청약 청약 청약 청약 청약 청약 ,청약저축 통장을 담보로 대출 받고 싶습니다. 가능한가요?,청약저축 통장에  납입금액의 95% 범위내에서 대출이 가능합니다. 적용이율은 연 5.75% 입니다. (마이너스통장으로 약정시 0.5%가산 → 연6.25% 적용)참고로 동 상품은 인터넷 & 폰뱅킹을 통해서는 대출 신청이 불가능하며 예금주 본인이 청약저축통장과 주민등록증을 준비하시고 가까운 영업점에 방문하시면 됩니다
30,전세 전세 전세 전세 전세 ,전세자금대출을 받았는데 보증료가 무엇입니까?,전세자금대출은 주택금융 신용보증서를 담보로 하여 대출 취급함을 원칙으로 하고 있습니다. 그렇기 때문에 보증서 발급요건에 부합되어야만 전세자금대출을 이용하실 수 있습니다.주택금융 신용보증서를 담보로 하여 대출이 취급되기 때문에 일년에 한번씩 보증금액 & 보증기간등을 감안하여 산출된 보증료를 선납하여 납입하게 되어 있습니다.
31,미성년자 미성년자 미성년자 미성년자 미성년자 미성년자 미성년자 미성년자 ,미성년자 소유의 주택을 담보로 대출을 받을 수 있습니까?,현재 대출상담 접수일 현재 만 20세미만인 미성년자(기혼자 제외)에 대한 신규 주택담보대출(중도금대출 및 이주비대출 & 채무인수 포함)은 취급이 불가합니다. 다만 소년소녀 가장 등 부모가 없는 미성년자의 경우는 예외 취급 가능합니다.
32,전세 전세 전세 전세 전세 ,전세자금대출을 받았는데 보증료가 무엇입니까?,전세자금대출은 주택금융 신용보증서를 담보로 하여 대출 취급함을 원칙으로 하고 있습니다. 그렇기 때문에 보증서 발급요건에 부합되어야만 전세자금대출을 이용하실 수 있습니다.
33,외국인 외국인 외국인 ,외국인도 대출이 가능한가요?,외국인에 대한 대출은 보증자격이 있는 국내 거주 국민이 연대보증하거나 은행이 인정하는 담보를 제공하는 경우에 한하여 취급할 수 있습니다. 단 거주성 여부에 따라 취급방법이 다르므로 자세한 상담은 해당 거래점으로 문의하시기 바랍니다.
34,예금 예금 예금 예금 예금 ,예금담보대출을 받았는데 어떻게 갚나요?,예·부·적금 담보대출은 매월 약정납입일에 이자를 납부하시고 만기에 대출원금을 일시에 상환하시면 됩니다.
35,신용 신용 신용 신용 신용 ,신용대출 가능금액을 알고 싶습니다.,국민은행에서 신용대출을 받고자 하실 경우 먼저 CSS 신용평가를 받아 보셔야 대출에 대한 가부판단을 받으실 수 있습니다.
36,공무원 공무원 공무원 공무원 공무원 공무원 ,공무원 자격으로 대출을 받을 수 있나요?,현재 저희은행에서는 재직중인 공무원을 대상으로 KB공무원 우대대출 상품을 판매하고 있습니다.
37,신용 신용 신용 신용 신용 신용 신용 신용 신용 ,신용대출(마이너스통장포함)을 받고싶은데 얼마나 받을 수 있을까요?,신용대출 한도는 고객님의 연소득 & 부채 & 신용도 & 재직정보 등의 신상정보와 당행거래실적 등을 기준으로 산출하고 있으므로 개인별 한도가 다르게 결정되고 있습니다.
38,인터넷 인터넷 인터넷 인터넷 ,인터넷으로 대출상환이 되나요?,인터넷 & 스마트뱅킹이 가입되신 경우에 대출금상환이 가능합니다.
39,신용 신용 신용 신용 신용 신용 신용 신용 신용 ,신용대출 만기가 다가오는데 연장은 어떻게 신청 할 수 있나요?,대출의 기간연장은 만기일로부터 1달 전부터 신청이 가능합니다.
40,마이너스 마이너스 마이너스 마이너스 마이너스 ,마이너스통장의 대출이자는 언제 출금 되나요?,대출이자 출금은 매월 제3토요일 또는 마지막주 토요일 중 대출약정 체결시 선택한 토요일 다음날(일요일) 마이너스 계좌에서 처리됩니다.
41,주택 주택 주택 주택 주택 주택 ,주택을 구입하면서 잔금이 부족한데 대출이 가능하나요?,잔금일자에 소유권이전등기 및 근저당설정과 대출금 지급이 함께 진행되도록 취급됩니다.
42,전세금 전세금 전세금 전세금 전세금 ,전세금(보증금)을 담보로 대출이 가능하나요?,전세자금대출은 전세금(보증금)을 직접 담보로 취급하지 않으며 대출 자격요건이나 주택 유형별로 고객님의 신용으로 주택금융공사 보증서 & 서울보증보험 보증서 & 주택도시보증공사 보증서를 담보로 취급하게 됩니다.
43,인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 ,인터넷예금담보대출을 신청하면 언제 입금 되나요?,은행영업일 09시 ~ 18시에 신청하신 대출은 고객센터에서 본인신청사실 유선확인을 실시합니다.
44,대출금 대출금 대출금 대출금 대출금 대출금 대출금 ,대출금을 갚는데도 수수료가 나오나요?(중도상환수수료),대출금을 중도에 상환하는 경우 중도상환해약금이 부과됩니다.
45,마이너스 마이너스 마이너스 마이너스 마이너스 마이너스 ,마이너스 통장도 일반대출과 동일하게 운용됩니다.,먼저 신용대출 또는 담보대출(예적금담보 포함)로 가능여부 및 가능금액 심사를 받아야 합니다. 심사 후 대출금액이 산정되면 상환방법을 마이너스 통장으로 선택하시면 됩니다.
46,대출 대출 대출 대출 대출 ,대출 소득공제 요건이 어떻게 되나요?,장기주택저당차입금 상환액 공제는 무주택 또는 1주택을 보유한 세대의 세대주(예외적으로 세대원)인 근로자가 취득 당시 기준시가 4억원 이하인 주택(주거용 오피스텔 제외)을 취득하기 위하여 해당 주택에 저당권을 설정하고 금융회사 & 주택도시기금으로부터 차입한 자금의 이자 상환액에 대해 소득공제 하는 것을 말합니다.
47,인터넷 인터넷 인터넷 인터넷 인터넷 인터넷 ,인터넷뱅킹상에서 타인의 대출금 상환이 가능한지요?,불가능합니다.
