6,인터넷뱅킹 이체수수료는 얼마인가요?,인터넷뱅킹(스마트폰뱅킹) 텔레뱅킹의 이체수수료는 새마을금고 간 이체의 경우 무료이며 타행이체의 경우 건당 0원~500원으로써 계좌를 개설하신 새마을금고의 수수료 정책에 따라 다를 수 있습니다. 각 새마을금고마다 한가족우수회원 제도 등 수수료 감면 또는 면제 정책을 시행하고 있으며 이체수수료의 감면 또는 면제 등에 대한 문의는 이용하시는 새마을금고로 문의하여 주시기 바랍니다.
7,인터넷뱅킹을 이용한 거래내역 조회기간은 어떻게 되나요?,인테넷뱅킹을 이용하실 경우 계좌개설일부터 모든 기간의 거래내역을 조회하실 수 있고 관련 파일을 저장하여 활용하실 수도 있습니다.
8,자주 쓰는 입금계좌를 등록해서 사용할 수 있나요?, 자주 쓰는 입금계좌를 등록하시면 이체거래시 매번 입금계좌번호를 입력하지 않고 입금계좌번호를 선택함으로써 편리하게 이용할 수 있는 기능입니다. 자주쓰는 입금계좌는 [ 뱅킹관리 - 계좌관리 - 자주 쓰는 입금계좌 관리 ] 메뉴에서 관리가 가능합니다.
9,개인 인터넷 뱅킹 속도가 너무 느린데 어떻게 해야 하나요?,인터넷 속도 저하는 회선 & 프로그램 로딩 등 다양한 문제로 발생할 수 있습니다. 타 사이트 접속시와 비교하여 속도가 현저히 느릴 경우 Chrome 브라우저를 사용하여 접속하실 것을 권장합니다.
41,인터넷뱅킹으로 계좌이체를 했는데 전자확인증을 다시 출력할 수 있나요? ,개인고객의 경우 2009년 12월 1일 이후 이체한 내역에 대해 전자확인증(이체확인증) 재출력이 가능합니다.
42,거래내역조회는 언제내역부터 가능한가요?,거래내역조회는 2003.1.1 내역부터 조회가 가능합니다.
43,출금계좌 추가등록은 어떻게 하나요? ,출금계좌추가등록/삭제는 영업점 및 인터넷을통해 가능합니다.
44,빠른조회서비스를 이용하려면 꼭 인터넷뱅킹에 가입해야 하나요?,  네 그렇습니다.금융감독원의 전자금융거래 보안대책 시행에 따라 2006년 3월 1일부터는 신청 고객에 한하여 '빠른조회(잔액/거래내역)서비스'가 제공됩니다.
45,인터넷뱅킹 이체한도 조회 및 증액하는 방법에 대해서 알려주세요,본인께서 신분증(주민등록증 | 운전면허증 등)을 지참하신 후 가까운 영업점에 방문하셔서 인터넷뱅킹 이체한도를 증액 신청하여 주시기 바랍니다.
46,인터넷뱅킹 신규회원가입 방법에 대해 알려주세요,우리은행에서 개설한 입출금 통장 또는 예·적금 계좌를 보유한 경우 인터넷/스마트뱅킹을 이용할 수 있습니다. 단 예·적금 계좌만 보유한 경우는 '조회고객'으로만 가입할 수 있습니다.
